Column1,Column2
11.4,0
11.41,0.48
11.42,0.68
11.43,0.83
11.44,0.96
11.45,1.07
11.46,1.17
11.47,1.27
11.48,1.35
11.49,1.44
11.5,1.51
11.51,1.59
11.52,1.66
11.53,1.73
11.54,1.79
11.55,1.86
11.56,1.92
11.57,1.98
11.58,2.03
11.59,2.09
11.6,2.14
11.61,2.2
11.62,2.25
11.63,2.3
11.64,2.35
11.65,2.4
11.66,2.45
11.67,2.5
11.68,2.54
11.69,2.59
11.7,2.63
11.71,2.68
11.72,2.72
11.73,2.76
11.74,2.8
11.75,2.85
11.76,2.89
11.77,2.93
11.78,2.97
11.79,3.01
11.8,3.05
11.81,3.08
11.82,3.12
11.83,3.16
11.84,3.2
11.85,3.23
11.86,3.27
11.87,3.31
11.88,3.34
11.89,3.38
11.9,3.41
11.91,3.45
11.92,3.48
11.93,3.52
11.94,3.55
11.95,3.58
11.96,3.62
11.97,3.65
11.98,3.68
11.99,3.71
12,3.75
12.01,3.78
12.02,3.81
12.03,3.84
12.04,3.87
12.05,3.9
12.06,3.93
12.07,3.97
12.08,4
12.09,4.03
12.1,4.06
12.11,4.09
12.12,4.12
12.13,4.14
12.14,4.17
12.15,4.2
12.16,4.23
12.17,4.26
12.18,4.29
12.19,4.32
12.2,4.35
12.21,4.37
12.22,4.4
12.23,4.43
12.24,4.46
12.25,4.48
12.26,4.51
12.27,4.54
12.28,4.56
12.29,4.59
12.3,4.62
12.31,4.65
12.32,4.67
12.33,4.7
12.34,4.72
12.35,4.75
12.36,4.78
12.37,4.8
12.38,4.83
12.39,4.85
12.4,4.88
12.41,4.9
12.42,4.93
12.43,4.95
12.44,4.98
12.45,5
12.46,5.03
12.47,5.05
12.48,5.08
12.49,5.1
12.5,5.13
12.51,5.15
12.52,5.18
12.53,5.2
12.54,5.22
12.55,5.25
12.56,5.27
12.57,5.3
12.58,5.32
12.59,5.34
12.6,5.37
12.61,5.39
12.62,5.41
12.63,5.44
12.64,5.46
12.65,5.48
12.66,5.51
12.67,5.53
12.68,5.55
12.69,5.57
12.7,5.6
12.71,5.62
12.72,5.64
12.73,5.67
